"id","kata_a","kata_b","jenis","penjelasan","penggunaan_a","penggunaan_b"
25,adem,tenang,sinonim_satu_synset,'adem' dan 'tenang' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'adem' dalam kalimat.,Padanan kata 'adem' adalah 'tenang'.
26,adenda,adendum,varian_baku_tidak_baku,'adenda' dan 'adendum' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adenda' dalam kalimat.,Padanan kata 'adenda' adalah 'adendum'.
27,adikanda,adinda,varian_baku_tidak_baku,'adikanda' dan 'adinda' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adikanda' dalam kalimat.,Padanan kata 'adikanda' adalah 'adinda'.
28,tile,tule,varian_baku_tidak_baku,'tile' dan 'tule' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'tile' dalam kalimat.,Padanan kata 'tile' adalah 'tule'.
29,adpertensi,advertensi,varian_baku_tidak_baku,'adpertensi' dan 'advertensi' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adpertensi' dalam kalimat.,Padanan kata 'adpertensi' adalah 'advertensi'.
30,adpis,advis,varian_baku_tidak_baku,'adpis' dan 'advis' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adpis' dalam kalimat.,Padanan kata 'adpis' adalah 'advis'.
31,adstringen,astringen,varian_baku_tidak_baku,'adstringen' dan 'astringen' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'adstringen' dalam kalimat.,Padanan kata 'adstringen' adalah 'astringen'.
32,advokat,pengacara,sinonim_satu_synset,'advokat' dan 'pengacara' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'advokat' dalam kalimat.,Padanan kata 'advokat' adalah 'pengacara'.
33,aestetika,estetika,sinonim_satu_synset,'aestetika' dan 'estetika' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aestetika' dalam kalimat.,Padanan kata 'aestetika' adalah 'estetika'.
34,aetiologi,etiologi,varian_baku_tidak_baku,'aetiologi' dan 'etiologi' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aetiologi' dalam kalimat.,Padanan kata 'aetiologi' adalah 'etiologi'.
35,afkir,apkir,varian_baku_tidak_baku,'afkir' dan 'apkir' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'afkir' dalam kalimat.,Padanan kata 'afkir' adalah 'apkir'.
36,afuah,afwah,varian_baku_tidak_baku,'afuah' dan 'afwah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'afuah' dalam kalimat.,Padanan kata 'afuah' adalah 'afwah'.
37,aga,angkuh,sinonim_satu_synset,'aga' dan 'angkuh' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aga' dalam kalimat.,Padanan kata 'aga' adalah 'angkuh'.
38,agamis,agamais,sinonim_satu_synset,'agamis' dan 'agamais' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agamis' dalam kalimat.,Padanan kata 'agamis' adalah 'agamais'.
39,agel,agal,varian_baku_tidak_baku,'agel' dan 'agal' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'agel' dalam kalimat.,Padanan kata 'agel' adalah 'agal'.
40,agresi,serangan,sinonim_satu_synset,'agresi' dan 'serangan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agresi' dalam kalimat.,Padanan kata 'agresi' adalah 'serangan'.
41,agribisnis,agrobisnis,sinonim_satu_synset,'agribisnis' dan 'agrobisnis' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agribisnis' dalam kalimat.,Padanan kata 'agribisnis' adalah 'agrobisnis'.
42,agul,sombong,sinonim_satu_synset,'agul' dan 'sombong' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agul' dalam kalimat.,Padanan kata 'agul' adalah 'sombong'.
43,agul,bangga,sinonim_satu_synset,'agul' dan 'bangga' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agul' dalam kalimat.,Padanan kata 'agul' adalah 'bangga'.
44,agul,megah,sinonim_satu_synset,'agul' dan 'megah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agul' dalam kalimat.,Padanan kata 'agul' adalah 'megah'.
45,agung,mulia,sinonim_satu_synset,'agung' dan 'mulia' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'agung' dalam kalimat.,Padanan kata 'agung' adalah 'mulia'.
46,agung,gung,varian_baku_tidak_baku,'agung' dan 'gung' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'agung' dalam kalimat.,Padanan kata 'agung' adalah 'gung'.
47,ahad,minggu,sinonim_satu_synset,'ahad' dan 'minggu' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ahad' dalam kalimat.,Padanan kata 'ahad' adalah 'minggu'.
48,ahli,anggota,sinonim_satu_synset,'ahli' dan 'anggota' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ahli' dalam kalimat.,Padanan kata 'ahli' adalah 'anggota'.
49,aib,noda,sinonim_satu_synset,'aib' dan 'noda' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aib' dalam kalimat.,Padanan kata 'aib' adalah 'noda'.
50,aih,ai,varian_baku_tidak_baku,'aih' dan 'ai' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aih' dalam kalimat.,Padanan kata 'aih' adalah 'ai'.
51,ajab,azab,varian_baku_tidak_baku,'ajab' dan 'azab' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ajab' dalam kalimat.,Padanan kata 'ajab' adalah 'azab'.
52,ajaib,ganjil,sinonim_satu_synset,'ajaib' dan 'ganjil' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ajaib' dalam kalimat.,Padanan kata 'ajaib' adalah 'ganjil'.
53,ajaib,aneh,sinonim_satu_synset,'ajaib' dan 'aneh' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ajaib' dalam kalimat.,Padanan kata 'ajaib' adalah 'aneh'.
54,akekah,akikah,varian_baku_tidak_baku,'akekah' dan 'akikah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akekah' dalam kalimat.,Padanan kata 'akekah' adalah 'akikah'.
55,akhbar,harian,sinonim_satu_synset,'akhbar' dan 'harian' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akhbar' dalam kalimat.,Padanan kata 'akhbar' adalah 'harian'.
56,ajek,tetap,sinonim_satu_synset,'ajek' dan 'tetap' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'ajek' dalam kalimat.,Padanan kata 'ajek' adalah 'tetap'.
57,ajufan,adjuvan,varian_baku_tidak_baku,'ajufan' dan 'adjuvan' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ajufan' dalam kalimat.,Padanan kata 'ajufan' adalah 'adjuvan'.
58,akor,akur,varian_baku_tidak_baku,'akor' dan 'akur' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akor' dalam kalimat.,Padanan kata 'akor' adalah 'akur'.
59,ajung,jung,varian_baku_tidak_baku,'ajung' dan 'jung' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ajung' dalam kalimat.,Padanan kata 'ajung' adalah 'jung'.
60,ajung,ajun,varian_baku_tidak_baku,'ajung' dan 'ajun' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ajung' dalam kalimat.,Padanan kata 'ajung' adalah 'ajun'.
61,akad,perjanjian,sinonim_satu_synset,'akad' dan 'perjanjian' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akad' dalam kalimat.,Padanan kata 'akad' adalah 'perjanjian'.
62,akad,ahad,varian_baku_tidak_baku,'akad' dan 'ahad' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akad' dalam kalimat.,Padanan kata 'akad' adalah 'ahad'.
63,akademik,akademis,sinonim_satu_synset,'akademik' dan 'akademis' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akademik' dalam kalimat.,Padanan kata 'akademik' adalah 'akademis'.
64,akal,pikiran,sinonim_satu_synset,'akal' dan 'pikiran' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akal' dalam kalimat.,Padanan kata 'akal' adalah 'pikiran'.
65,akal,kecerdikan,sinonim_satu_synset,'akal' dan 'kecerdikan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akal' dalam kalimat.,Padanan kata 'akal' adalah 'kecerdikan'.
66,akar,pangkal,sinonim_satu_synset,'akar' dan 'pangkal' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akar' dalam kalimat.,Padanan kata 'akar' adalah 'pangkal'.
67,akas kaya,kaskaya,varian_baku_tidak_baku,'akas kaya' dan 'kaskaya' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akas kaya' dalam kalimat.,Padanan kata 'akas kaya' adalah 'kaskaya'.
68,akhlas,ikhlas,varian_baku_tidak_baku,'akhlas' dan 'ikhlas' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akhlas' dalam kalimat.,Padanan kata 'akhlas' adalah 'ikhlas'.
69,akhwan,ikhwan,varian_baku_tidak_baku,'akhwan' dan 'ikhwan' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akhwan' dalam kalimat.,Padanan kata 'akhwan' adalah 'ikhwan'.
70,aklimasi,aklimatisasi,varian_baku_tidak_baku,'aklimasi' dan 'aklimatisasi' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aklimasi' dalam kalimat.,Padanan kata 'aklimasi' adalah 'aklimatisasi'.
71,akrab,kekariban,sinonim_satu_synset,'akrab' dan 'kekariban' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akrab' dalam kalimat.,Padanan kata 'akrab' adalah 'kekariban'.
72,akte,akta,varian_baku_tidak_baku,'akte' dan 'akta' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'akte' dalam kalimat.,Padanan kata 'akte' adalah 'akta'.
73,aktip,aktif,varian_baku_tidak_baku,'aktip' dan 'aktif' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aktip' dalam kalimat.,Padanan kata 'aktip' adalah 'aktif'.
74,aku,saya,sinonim_satu_synset,'aku' dan 'saya' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aku' dalam kalimat.,Padanan kata 'aku' adalah 'saya'.
75,akur,setuju,sinonim_satu_synset,'akur' dan 'setuju' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akur' dalam kalimat.,Padanan kata 'akur' adalah 'setuju'.
76,akur,mengiakan,sinonim_satu_synset,'akur' dan 'mengiakan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akur' dalam kalimat.,Padanan kata 'akur' adalah 'mengiakan'.
77,akur,mencocokkan,sinonim_satu_synset,'akur' dan 'mencocokkan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akur' dalam kalimat.,Padanan kata 'akur' adalah 'mencocokkan'.
78,akurat,saksama,sinonim_satu_synset,'akurat' dan 'saksama' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'akurat' dalam kalimat.,Padanan kata 'akurat' adalah 'saksama'.
79,alabangka,linggis,sinonim_satu_synset,'alabangka' dan 'linggis' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alabangka' dalam kalimat.,Padanan kata 'alabangka' adalah 'linggis'.
80,alabangka,perejang,sinonim_satu_synset,'alabangka' dan 'perejang' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alabangka' dalam kalimat.,Padanan kata 'alabangka' adalah 'perejang'.
81,alap,bagus,sinonim_satu_synset,'alap' dan 'bagus' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alap' dalam kalimat.,Padanan kata 'alap' adalah 'bagus'.
82,alas,asas,sinonim_satu_synset,'alas' dan 'asas' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alas' dalam kalimat.,Padanan kata 'alas' adalah 'asas'.
83,alat,kelengkapan,sinonim_satu_synset,'alat' dan 'kelengkapan' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alat' dalam kalimat.,Padanan kata 'alat' adalah 'kelengkapan'.
84,alfabet,abjad,sinonim_satu_synset,'alfabet' dan 'abjad' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alfabet' dalam kalimat.,Padanan kata 'alfabet' adalah 'abjad'.
85,algoritma,algoritme,varian_baku_tidak_baku,'algoritma' dan 'algoritme' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'algoritma' dalam kalimat.,Padanan kata 'algoritma' adalah 'algoritme'.
86,alih aksara,transliterasi,sinonim_satu_synset,'alih aksara' dan 'transliterasi' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alih aksara' dalam kalimat.,Padanan kata 'alih aksara' adalah 'transliterasi'.
87,alih,pindah,sinonim_satu_synset,'alih' dan 'pindah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alih' dalam kalimat.,Padanan kata 'alih' adalah 'pindah'.
88,alip,alif,varian_baku_tidak_baku,'alip' dan 'alif' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'alip' dalam kalimat.,Padanan kata 'alip' adalah 'alif'.
89,aliyah,aliah,varian_baku_tidak_baku,'aliyah' dan 'aliah' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'aliyah' dalam kalimat.,Padanan kata 'aliyah' adalah 'aliah'.
90,candang,berani,sinonim_satu_synset,'candang' dan 'berani' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'candang' dalam kalimat.,Padanan kata 'candang' adalah 'berani'.
91,alkohol,etanol,sinonim_satu_synset,'alkohol' dan 'etanol' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alkohol' dalam kalimat.,Padanan kata 'alkohol' adalah 'etanol'.
92,alku,jaruman,sinonim_satu_synset,'alku' dan 'jaruman' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alku' dalam kalimat.,Padanan kata 'alku' adalah 'jaruman'.
93,alku,muncikari,sinonim_satu_synset,'alku' dan 'muncikari' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alku' dalam kalimat.,Padanan kata 'alku' adalah 'muncikari'.
94,ambat,hambat,varian_baku_tidak_baku,'ambat' dan 'hambat' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'ambat' dalam kalimat.,Padanan kata 'ambat' adalah 'hambat'.
95,himbau,imbau,varian_baku_tidak_baku,'himbau' dan 'imbau' tervalidasi sebagai pasangan bentuk baku–varian/tidak baku; hubungan ini bukan selalu sinonimi bebas dalam semua konteks.,Contoh penggunaan kata 'himbau' dalam kalimat.,Padanan kata 'himbau' adalah 'imbau'.
96,almari,lemari,sinonim_satu_synset,'almari' dan 'lemari' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'almari' dalam kalimat.,Padanan kata 'almari' adalah 'lemari'.
97,aloi,lakur,sinonim_satu_synset,'aloi' dan 'lakur' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'aloi' dalam kalimat.,Padanan kata 'aloi' adalah 'lakur'.
98,alpa,lengah,sinonim_satu_synset,'alpa' dan 'lengah' tervalidasi sebagai sinonim pada sekurang-kurangnya satu makna karena berada dalam synset WordNet Bahasa yang sama.,Contoh penggunaan kata 'alpa' dalam kalimat.,Padanan kata 'alpa' adalah 'lengah'.
