id,kata_a,kata_b,jenis_oposisi,bidang,tingkat_keyakinan,penjelasan,penggunaan_a,penggunaan_b,catatan
11,hidup,mati,komplementer,umum,tinggi,Pasangan 'hidup' dan 'mati' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'hidup' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mati' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
12,siang,malam,gradabel/kontekstual,umum,menengah,Pasangan 'siang' dan 'malam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'siang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'malam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
13,pagi,sore,gradabel/kontekstual,umum,menengah,Pasangan 'pagi' dan 'sore' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pagi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sore' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
14,panas,dingin,gradabel/kontekstual,umum,menengah,Pasangan 'panas' dan 'dingin' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'panas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dingin' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
15,mahal,murah,gradabel/kontekstual,umum,menengah,Pasangan 'mahal' dan 'murah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mahal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'murah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
16,tebal,tipis,gradabel/kontekstual,umum,menengah,Pasangan 'tebal' dan 'tipis' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tebal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tipis' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
17,berat,ringan,gradabel/kontekstual,umum,menengah,Pasangan 'berat' dan 'ringan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'berat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ringan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
18,terang,gelap,gradabel/kontekstual,umum,menengah,Pasangan 'terang' dan 'gelap' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'terang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gelap' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
19,bersih,kotor,gradabel/kontekstual,umum,menengah,Pasangan 'bersih' dan 'kotor' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bersih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kotor' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
20,rajin,malas,gradabel/kontekstual,umum,menengah,Pasangan 'rajin' dan 'malas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rajin' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'malas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
21,pintar,bodoh,gradabel/kontekstual,umum,menengah,Pasangan 'pintar' dan 'bodoh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pintar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bodoh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
22,kuat,lemah,gradabel/kontekstual,umum,menengah,Pasangan 'kuat' dan 'lemah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kuat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lemah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
23,berani,takut,gradabel/kontekstual,umum,menengah,Pasangan 'berani' dan 'takut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'berani' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'takut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
24,senang,sedih,gradabel/kontekstual,umum,menengah,Pasangan 'senang' dan 'sedih' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'senang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sedih' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
25,bahagia,sengsara,gradabel/kontekstual,umum,menengah,Pasangan 'bahagia' dan 'sengsara' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bahagia' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sengsara' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
26,untung,rugi,gradabel/kontekstual,umum,menengah,Pasangan 'untung' dan 'rugi' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'untung' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rugi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
27,menang,kalah,gradabel/kontekstual,umum,menengah,Pasangan 'menang' dan 'kalah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'menang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kalah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
28,tambah,kurang,gradabel/kontekstual,umum,menengah,Pasangan 'tambah' dan 'kurang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tambah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kurang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
29,banyak,sedikit,gradabel/kontekstual,umum,menengah,Pasangan 'banyak' dan 'sedikit' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'banyak' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sedikit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
30,muda,tua,gradabel/kontekstual,umum,menengah,Pasangan 'muda' dan 'tua' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'muda' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tua' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
31,baru,lama,gradabel/kontekstual,umum,menengah,Pasangan 'baru' dan 'lama' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'baru' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lama' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
32,asli,palsu,gradabel/kontekstual,umum,menengah,Pasangan 'asli' dan 'palsu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'asli' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'palsu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
33,lurus,bengkok,gradabel/kontekstual,umum,menengah,Pasangan 'lurus' dan 'bengkok' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lurus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bengkok' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
34,halus,kasar,gradabel/kontekstual,umum,menengah,Pasangan 'halus' dan 'kasar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'halus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kasar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
35,lembut,keras,gradabel/kontekstual,umum,menengah,Pasangan 'lembut' dan 'keras' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lembut' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'keras' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
36,tajam,tumpul,gradabel/kontekstual,umum,menengah,Pasangan 'tajam' dan 'tumpul' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tajam' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tumpul' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
37,lapar,kenyang,gradabel/kontekstual,umum,menengah,Pasangan 'lapar' dan 'kenyang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lapar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kenyang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
38,bangun,tidur,gradabel/kontekstual,umum,menengah,Pasangan 'bangun' dan 'tidur' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bangun' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tidur' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
39,pergi,datang,direksional/reversif,umum,tinggi,Pasangan 'pergi' dan 'datang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pergi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'datang' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
40,masuk,keluar,direksional/reversif,umum,tinggi,Pasangan 'masuk' dan 'keluar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'masuk' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'keluar' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
41,beli,jual,relasional,umum,menengah,Pasangan 'beli' dan 'jual' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'beli' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jual' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
42,buka,tutup,gradabel/kontekstual,umum,menengah,Pasangan 'buka' dan 'tutup' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'buka' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tutup' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
43,nyala,padam,gradabel/kontekstual,umum,menengah,Pasangan 'nyala' dan 'padam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'nyala' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'padam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
44,terbit,terbenam,gradabel/kontekstual,umum,menengah,Pasangan 'terbit' dan 'terbenam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'terbit' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'terbenam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
45,naik,turun,direksional/reversif,umum,tinggi,Pasangan 'naik' dan 'turun' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'naik' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'turun' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
46,maju,mundur,direksional/reversif,umum,tinggi,Pasangan 'maju' dan 'mundur' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'maju' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mundur' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
47,setuju,tolak,gradabel/kontekstual,umum,menengah,Pasangan 'setuju' dan 'tolak' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'setuju' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tolak' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
48,ya,tidak,komplementer,umum,tinggi,Pasangan 'ya' dan 'tidak' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ya' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tidak' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
49,benar,salah,gradabel/kontekstual,umum,menengah,Pasangan 'benar' dan 'salah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'benar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'salah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
50,lulus,gagal,komplementer,umum,tinggi,Pasangan 'lulus' dan 'gagal' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lulus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gagal' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
51,ingat,lupa,gradabel/kontekstual,umum,menengah,Pasangan 'ingat' dan 'lupa' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ingat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lupa' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
52,kenal,asing,gradabel/kontekstual,umum,menengah,Pasangan 'kenal' dan 'asing' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kenal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'asing' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
53,sehat,sakit,gradabel/kontekstual,kesehatan,menengah,Pasangan 'sehat' dan 'sakit' memiliki hubungan pertentangan makna dalam konteks kesehatan.,Contoh: penggunaan kata 'sehat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sakit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
54,subur,tandus,gradabel/kontekstual,umum,menengah,Pasangan 'subur' dan 'tandus' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'subur' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tandus' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
55,ramai,sepi,gradabel/kontekstual,umum,menengah,Pasangan 'ramai' dan 'sepi' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ramai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sepi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
56,luas,sempit,gradabel/kontekstual,umum,menengah,Pasangan 'luas' dan 'sempit' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'luas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sempit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
57,longgar,sempit,gradabel/kontekstual,umum,menengah,Pasangan 'longgar' dan 'sempit' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'longgar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sempit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
58,gemuk,kurus,gradabel/kontekstual,umum,menengah,Pasangan 'gemuk' dan 'kurus' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gemuk' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kurus' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
59,wangi,busuk,gradabel/kontekstual,umum,menengah,Pasangan 'wangi' dan 'busuk' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'wangi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'busuk' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
60,manis,pahit,gradabel/kontekstual,umum,menengah,Pasangan 'manis' dan 'pahit' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'manis' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pahit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
61,asin,tawar,gradabel/kontekstual,umum,menengah,Pasangan 'asin' dan 'tawar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'asin' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tawar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
62,asam,basa,gradabel/kontekstual,umum,menengah,Pasangan 'asam' dan 'basa' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'asam' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'basa' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
63,kering,basah,gradabel/kontekstual,hukum,menengah,Pasangan 'kering' dan 'basah' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'kering' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'basah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
64,penuh,kosong,gradabel/kontekstual,umum,menengah,Pasangan 'penuh' dan 'kosong' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'penuh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kosong' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
65,padat,cair,gradabel/kontekstual,umum,menengah,Pasangan 'padat' dan 'cair' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'padat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'cair' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
66,surga,neraka,gradabel/kontekstual,umum,menengah,Pasangan 'surga' dan 'neraka' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'surga' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'neraka' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
67,malaikat,setan,gradabel/kontekstual,umum,menengah,Pasangan 'malaikat' dan 'setan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'malaikat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'setan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
68,pahala,dosa,gradabel/kontekstual,agama,menengah,Pasangan 'pahala' dan 'dosa' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'pahala' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dosa' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
69,ibadah,maksiat,gradabel/kontekstual,umum,menengah,Pasangan 'ibadah' dan 'maksiat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ibadah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'maksiat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
70,halal,haram,komplementer,agama,tinggi,Pasangan 'halal' dan 'haram' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'halal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'haram' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
71,suci,najis,gradabel/kontekstual,agama,menengah,Pasangan 'suci' dan 'najis' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'suci' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'najis' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
72,iman,kufur,gradabel/kontekstual,agama,menengah,Pasangan 'iman' dan 'kufur' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'iman' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kufur' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
73,tauhid,syirik,gradabel/kontekstual,agama,menengah,Pasangan 'tauhid' dan 'syirik' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'tauhid' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'syirik' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
74,syukur,kufur,gradabel/kontekstual,agama,menengah,Pasangan 'syukur' dan 'kufur' memiliki hubungan pertentangan makna dalam konteks agama.,Contoh: penggunaan kata 'syukur' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kufur' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
75,ikhlas,pamrih,gradabel/kontekstual,umum,menengah,Pasangan 'ikhlas' dan 'pamrih' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ikhlas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pamrih' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
76,jujur,bohong,gradabel/kontekstual,umum,menengah,Pasangan 'jujur' dan 'bohong' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'jujur' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bohong' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
77,setia,khianat,gradabel/kontekstual,umum,menengah,Pasangan 'setia' dan 'khianat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'setia' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'khianat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
78,aktif,pasif,komplementer,teknologi,tinggi,Pasangan 'aktif' dan 'pasif' memiliki hubungan pertentangan makna dalam konteks teknologi.,Contoh: penggunaan kata 'aktif' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pasif' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
79,modern,tradisional,gradabel/kontekstual,umum,menengah,Pasangan 'modern' dan 'tradisional' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'modern' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tradisional' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
80,canggih,kuno,gradabel/kontekstual,umum,menengah,Pasangan 'canggih' dan 'kuno' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'canggih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kuno' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
